IdПерсонал,ПІБ,Зарплата,Стаж,Стать,Вік
1,"Петров А.О.",10000,2,чол,25
2,"Иванова В.Є.",12000,5,жін,33
3,"Сидоров П.Д.",10000,1,чол,22
4,"Жук Ф.О.",18000,20,чол,52
5,"Прищепа М.О.",15000,7,чол,37
6,"Вишневська Я.Р.",10000,1,жін,20
7,"Башкіров І.Ф.",25000,15,чол,47
8,"Раскевич Ж.М.",16200,3,жін,26
9,"Седих А.Є.",15000,3,жін,26
10,"Порохницький Н.О.",18000,6,чол,29
11,"Пасічний П.П.",10000,1,чол,19
12,"Носов І.Р.",10000,30,чол,62
13,"Пахарь І.О.",17500,5,жін,25
14,"Гужевський М.О.",20000,10,чол,40
15,"Калуж П.Р.",13000,2,чол,23
16,"Авдієнко В.О",10000,2,чол,20
17,"Клавдій Я.В.",10000,1,жін,20
